Id,AppraiserEnterpriseId,AvaliacaoPerguntaId,Resposta,Date,Linha1,Linha2,Id,Bloco,Criterio,QuestaoLetra,Questao,Peso,Topico,Id,UserId,Status,ResponsibleId,CreatedAt,UpdatedAt,Id,UserId,RoleId,Id,Description,LongDescription,ParentRole,IsSystemAdmin,IsSystemRole
4964,598,28,A,"2013-09-09 07:22:03",30,31,28,3,3,A,"Tem medidas para avaliar os resultados gerados? (como por exemplo, índice de satisfação do cliente, aumento do números dos clientes, aumento de receita, absenteísmo, índice de satisfação das pessoas, hora/homem treinamento entre outros indicados pela própria Mulher).",70,"- Verificar os indicadores de cliente e de mercado (o que mede, de quanto em quanto tempo e o que faz com essa medida). 
-Verificar os indicadores de pessoas (o que mede, de quanto em quanto tempo e o que faz com essa medida).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4959,598,23,A,"2013-09-09 07:22:03",21,23,23,2,5,B,"Sabe quais os benefícios que seu negócio trouxe para sua comunidade / bairro / município?",30,"- Verificar se o Negócio tem alguma representatividade na economia do local, se atrai novos negócios ou pessoas (turistas, por exemplo) ou se é um importante ponto para gerar emprego na comunidade.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4956,598,20,A,"2013-09-09 07:22:03",14,16,20,2,4,D,"Avalia a satisfação dos clientes?",20,"- Verificar como avalia a satisfação de seus clientes.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4955,598,19,A,"2013-09-09 07:22:03",30,30,19,2,4,C,"Trata as manifestações e dá atendimento e/ou respostas aos clientes?",20,"- Verificar como os clientes podem se manifestar em relação à sua satisfação/insatisfação.
- Verificar como são tratadas as manifestações dos clientes.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4953,598,17,A,"2013-09-09 07:22:03",12,13,17,2,4,A,"Demonstra conhecer as necessidades dos clientes?",30,"- Verificar quais são as necessidades dos clientes do Negócio e como essas informações foram conseguidas.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4952,598,16,A,"2013-09-09 07:22:03",14,15,16,2,3,D,"Há evidências de que o ambiente de trabalho é agradável?",20,"- Verificar o “clima” do lugar (se as pessoas são tensas ou tranqüilas, se têm orgulho de trabalhar ali ou não, se fazem questão de mostrar o lugar ou se são indiferentes).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4948,598,12,A,"2013-09-09 07:22:03",32,32,12,2,2,B,"Demonstra que gerencia os seus recursos financeiros?",40,"- Verificar o orçamento do Negócio. O Orçamento deve conter informações sobre as previsões de recursos, entradas e saídas de dinheiro.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4947,598,11,A,"2013-09-09 07:22:03",32,32,11,2,2,A,"Tem processos definidos para realizar a gestão de seu negócio?",40,"- Verificar as normas, fluxos e rotinas escritas das atividades desenvolvidas no Negócio.
- Verificar como controla as atividades desenvolvidas em seu Negócio. O controle deve estar escrito (podem ser planilhas, atas de reuniões, livros de anotações, agendas, entre outros).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4945,598,9,A,"2013-09-09 07:22:03",12,12,9,2,1,C,"Se relaciona pessoalmente com os clientes, colaboradores, fornecedores, comunidade, parceiros, sendo evidenciada a participação ativa nos negócios?",35,"- Verificar como faz para se relacionar com seus clientes.
- Verificar como faz para se relacionar com a sociedade.
- Verificar como faz para se relacionar com os seus colaboradores.
- Verificar como faz para se relacionar com os seus fornecedores.
- Verificar se a Mulher se relaciona com mais algum setor (além dos já citados) e como faz isso.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4943,598,7,A,"2013-09-09 07:22:03",8,9,7,2,1,A,"Descreve valores pessoais que influenciam o exercíco da atividade vencendo desafios?",40,"- Verificar como vence desafios.
- Verificar se os desafios que aparecem são encarados como grandes dificuldades ou como oportunidades (solicitar que a Mulher justifique sua resposta).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
