Id,AppraiserEnterpriseId,AvaliacaoPerguntaId,Resposta,Date,Linha1,Linha2,Id,Bloco,Criterio,QuestaoLetra,Questao,Peso,Topico,Id,UserId,Status,ResponsibleId,CreatedAt,UpdatedAt,Id,UserId,RoleId,Id,Description,LongDescription,ParentRole,IsSystemAdmin,IsSystemRole
4964,598,28,A,"2013-09-09 07:22:03",30,31,28,3,3,A,"Tem medidas para avaliar os resultados gerados? (como por exemplo, índice de satisfação do cliente, aumento do números dos clientes, aumento de receita, absenteísmo, índice de satisfação das pessoas, hora/homem treinamento entre outros indicados pela própria Mulher).",70,"- Verificar os indicadores de cliente e de mercado (o que mede, de quanto em quanto tempo e o que faz com essa medida). 
-Verificar os indicadores de pessoas (o que mede, de quanto em quanto tempo e o que faz com essa medida).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4963,598,27,S,"2013-09-09 07:22:03",22,23,27,3,2,B,"Há evidências de que dissemina as lições aprendidas visando a formação de novas empreendedoras, ou seja, a partir de sua história de vida, construiu um modelo de referência para outras mulheres?",35,"- Verificar como vem sendo referência para outras Mulheres (pedir justificativa da resposta).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4961,598,25,S,"2013-09-09 07:22:03",18,20,25,3,1,A,"Há evidências de algum planejamento para o futuro? Aonde chegar? Estratégias? Visão de Futuro?",70,"- Verificar como visualiza seu Negócio no futuro e em quanto tempo esse futuro deve chegar. 
- Verificar as estratégias que utiliza para alcançar seus objetivos (como está trabalhando para chegar onde deseja).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4960,598,24,S,"2013-09-09 07:22:03",26,29,24,2,6,A,"Há evidências de parcerias para melhor conduzir o negócio?",50,"- Verificar com quem busca parceria.
- Verificar para quais atividades busca parcerias.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4959,598,23,A,"2013-09-09 07:22:03",21,23,23,2,5,B,"Sabe quais os benefícios que seu negócio trouxe para sua comunidade / bairro / município?",30,"- Verificar se o Negócio tem alguma representatividade na economia do local, se atrai novos negócios ou pessoas (turistas, por exemplo) ou se é um importante ponto para gerar emprego na comunidade.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4958,598,22,S,"2013-09-09 07:22:03",24,25,22,2,5,A,"Tem uma preocupação com o meio ambiente no desenvolvimento de suas atividades (controla, por exemplo, o uso de energia e água)?",30,"- Verificar quais são os prejuízos que o Negócio pode causar no meio ambiente ou para a sociedade (exemplos: uso excessivo de energia e água, lixos infectados, trânsito, poluição ambiental, visual ou sonora, entre outros).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4956,598,20,A,"2013-09-09 07:22:03",14,16,20,2,4,D,"Avalia a satisfação dos clientes?",20,"- Verificar como avalia a satisfação de seus clientes.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4955,598,19,A,"2013-09-09 07:22:03",30,30,19,2,4,C,"Trata as manifestações e dá atendimento e/ou respostas aos clientes?",20,"- Verificar como os clientes podem se manifestar em relação à sua satisfação/insatisfação.
- Verificar como são tratadas as manifestações dos clientes.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4953,598,17,A,"2013-09-09 07:22:03",12,13,17,2,4,A,"Demonstra conhecer as necessidades dos clientes?",30,"- Verificar quais são as necessidades dos clientes do Negócio e como essas informações foram conseguidas.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4952,598,16,A,"2013-09-09 07:22:03",14,15,16,2,3,D,"Há evidências de que o ambiente de trabalho é agradável?",20,"- Verificar o “clima” do lugar (se as pessoas são tensas ou tranqüilas, se têm orgulho de trabalhar ali ou não, se fazem questão de mostrar o lugar ou se são indiferentes).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
