Id,AppraiserEnterpriseId,AvaliacaoPerguntaId,Resposta,Date,Linha1,Linha2,Id,Bloco,Criterio,QuestaoLetra,Questao,Peso,Topico,Id,UserId,Status,ResponsibleId,CreatedAt,UpdatedAt,Id,UserId,RoleId,Id,Description,LongDescription,ParentRole,IsSystemAdmin,IsSystemRole
4963,598,27,S,"2013-09-09 07:22:03",22,23,27,3,2,B,"Há evidências de que dissemina as lições aprendidas visando a formação de novas empreendedoras, ou seja, a partir de sua história de vida, construiu um modelo de referência para outras mulheres?",35,"- Verificar como vem sendo referência para outras Mulheres (pedir justificativa da resposta).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4961,598,25,S,"2013-09-09 07:22:03",18,20,25,3,1,A,"Há evidências de algum planejamento para o futuro? Aonde chegar? Estratégias? Visão de Futuro?",70,"- Verificar como visualiza seu Negócio no futuro e em quanto tempo esse futuro deve chegar. 
- Verificar as estratégias que utiliza para alcançar seus objetivos (como está trabalhando para chegar onde deseja).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4960,598,24,S,"2013-09-09 07:22:03",26,29,24,2,6,A,"Há evidências de parcerias para melhor conduzir o negócio?",50,"- Verificar com quem busca parceria.
- Verificar para quais atividades busca parcerias.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4958,598,22,S,"2013-09-09 07:22:03",24,25,22,2,5,A,"Tem uma preocupação com o meio ambiente no desenvolvimento de suas atividades (controla, por exemplo, o uso de energia e água)?",30,"- Verificar quais são os prejuízos que o Negócio pode causar no meio ambiente ou para a sociedade (exemplos: uso excessivo de energia e água, lixos infectados, trânsito, poluição ambiental, visual ou sonora, entre outros).",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4946,598,10,S,"2013-09-09 07:22:03",21,23,10,2,1,D,"Não desiste das ideias diante dos problemas que aparecem, buscando outros caminhos quando necessário, para atingir os objetivos?",35,"- Verificar como demonstra persistência no que faz.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4940,598,4,S,"2013-09-09 07:22:03",11,13,4,1,2,B,"Houve ideias inovadoras para o mercado, demonstrando que seu produto/serviço tem um diferencial sobre os outros?",50,"- Verificar se o Negócio produz algum produto que nenhum outro Negócio do seu Mercado de atuação, apresenta.
-Verificar com que produto é pioneira no Mercado.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4938,598,2,S,"2013-09-09 07:22:03",3,3,2,1,1,B,"As informações do mercado e do ambiente que cerca o negócio foram utilizadas na sua criação?",20,"- Verificar se conhece as tendências de mercado na sua área de atuação (se existem outros negócios similares no bairro/comunidade, como são praticados os preços nesses outros negócios similares, que produtos similares vendem e estão em falta, que novos negócios devem abrir no bairro ou na comunidade em um futuro próximo, por exemplo)",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
4937,598,1,S,"2013-09-09 07:22:03",4,5,1,1,1,A,"As informações utilizadas na concretização do sonho demonstram consciência da interdependência entre os diversos componentes do negócio?",20,"- Verificar se conhece quais são as atividades desenvolvidas no seu Negocio e como associa a existência de uma atividade à outra.
- Verificar como vê a relação de seu Negócio com os interesses da Sociedade.
- Verificar como vê a relação de seu Negócio com o governo.",598,27061,unable,33525,"2014-11-18 11:05:07","2014-11-18 11:05:07",27059,27061,35,35,verificador,Verificador,1,0,1
244021,70,27,S,"2013-10-08 14:35:10",66,72,27,3,2,B,"Há evidências de que dissemina as lições aprendidas visando a formação de novas empreendedoras, ou seja, a partir de sua história de vida, construiu um modelo de referência para outras mulheres?",35,"- Verificar como vem sendo referência para outras Mulheres (pedir justificativa da resposta).",70,27999,unable,33525,"2014-08-18 10:59:57","2014-08-18 10:59:57",27994,27999,35,35,verificador,Verificador,1,0,1
244017,70,23,S,"2013-10-08 14:35:10",63,65,23,2,5,B,"Sabe quais os benefícios que seu negócio trouxe para sua comunidade / bairro / município?",30,"- Verificar se o Negócio tem alguma representatividade na economia do local, se atrai novos negócios ou pessoas (turistas, por exemplo) ou se é um importante ponto para gerar emprego na comunidade.",70,27999,unable,33525,"2014-08-18 10:59:57","2014-08-18 10:59:57",27994,27999,35,35,verificador,Verificador,1,0,1
244016,70,22,S,"2013-10-08 14:35:10",59,60,22,2,5,A,"Tem uma preocupação com o meio ambiente no desenvolvimento de suas atividades (controla, por exemplo, o uso de energia e água)?",30,"- Verificar quais são os prejuízos que o Negócio pode causar no meio ambiente ou para a sociedade (exemplos: uso excessivo de energia e água, lixos infectados, trânsito, poluição ambiental, visual ou sonora, entre outros).",70,27999,unable,33525,"2014-08-18 10:59:57","2014-08-18 10:59:57",27994,27999,35,35,verificador,Verificador,1,0,1
244004,70,10,S,"2013-10-08 14:35:10",34,41,10,2,1,D,"Não desiste das ideias diante dos problemas que aparecem, buscando outros caminhos quando necessário, para atingir os objetivos?",35,"- Verificar como demonstra persistência no que faz.",70,27999,unable,33525,"2014-08-18 10:59:57","2014-08-18 10:59:57",27994,27999,35,35,verificador,Verificador,1,0,1
244003,70,9,S,"2013-10-08 14:35:10",53,56,9,2,1,C,"Se relaciona pessoalmente com os clientes, colaboradores, fornecedores, comunidade, parceiros, sendo evidenciada a participação ativa nos negócios?",35,"- Verificar como faz para se relacionar com seus clientes.
- Verificar como faz para se relacionar com a sociedade.
- Verificar como faz para se relacionar com os seus colaboradores.
- Verificar como faz para se relacionar com os seus fornecedores.
- Verificar se a Mulher se relaciona com mais algum setor (além dos já citados) e como faz isso.",70,27999,unable,33525,"2014-08-18 10:59:57","2014-08-18 10:59:57",27994,27999,35,35,verificador,Verificador,1,0,1
244001,70,7,S,"2013-10-08 14:35:10",75,79,7,2,1,A,"Descreve valores pessoais que influenciam o exercíco da atividade vencendo desafios?",40,"- Verificar como vence desafios.
- Verificar se os desafios que aparecem são encarados como grandes dificuldades ou como oportunidades (solicitar que a Mulher justifique sua resposta).",70,27999,unable,33525,"2014-08-18 10:59:57","2014-08-18 10:59:57",27994,27999,35,35,verificador,Verificador,1,0,1
244000,70,6,S,"2013-10-08 14:35:10",63,74,6,1,2,D,"A superação está traduzida em melhorias pessoais e profissionais?",45,"- Verificar como supera preconceitos.",70,27999,unable,33525,"2014-08-18 10:59:57","2014-08-18 10:59:57",27994,27999,35,35,verificador,Verificador,1,0,1
243999,70,5,S,"2013-10-08 14:35:10",34,40,5,1,2,C,"O preconceito de gênero foi visto como oportunidade para o negócio?",45,"- Verificar ações de melhorias implantadas no Negócio, a partir do enfrentamento do preconceito contra a Mulher (pedir relatos).
- Verificar se os preconceitos são encarados como grandes dificuldades ou como oportunidades (solicitar que a Mulher justifique sua resposta).",70,27999,unable,33525,"2014-08-18 10:59:57","2014-08-18 10:59:57",27994,27999,35,35,verificador,Verificador,1,0,1
207883,52,25,S,"2013-10-02 21:06:57",30,31,25,3,1,A,"Há evidências de algum planejamento para o futuro? Aonde chegar? Estratégias? Visão de Futuro?",70,"- Verificar como visualiza seu Negócio no futuro e em quanto tempo esse futuro deve chegar. 
- Verificar as estratégias que utiliza para alcançar seus objetivos (como está trabalhando para chegar onde deseja).",52,31406,unable,33525,"2014-08-18 10:28:40","2014-08-18 10:28:40",31396,31406,35,35,verificador,Verificador,1,0,1
2337,538,7,S,"2013-09-07 17:54:51",15,23,7,2,1,A,"Descreve valores pessoais que influenciam o exercíco da atividade vencendo desafios?",40,"- Verificar como vence desafios.
- Verificar se os desafios que aparecem são encarados como grandes dificuldades ou como oportunidades (solicitar que a Mulher justifique sua resposta).",538,31826,unable,33525,"2014-10-02 10:15:32","2014-10-02 10:15:32",31816,31826,35,35,verificador,Verificador,1,0,1
2334,538,4,S,"2013-09-07 17:54:51",23,27,4,1,2,B,"Houve ideias inovadoras para o mercado, demonstrando que seu produto/serviço tem um diferencial sobre os outros?",50,"- Verificar se o Negócio produz algum produto que nenhum outro Negócio do seu Mercado de atuação, apresenta.
-Verificar com que produto é pioneira no Mercado.",538,31826,unable,33525,"2014-10-02 10:15:32","2014-10-02 10:15:32",31816,31826,35,35,verificador,Verificador,1,0,1
2332,538,2,S,"2013-09-07 17:54:51",23,28,2,1,1,B,"As informações do mercado e do ambiente que cerca o negócio foram utilizadas na sua criação?",20,"- Verificar se conhece as tendências de mercado na sua área de atuação (se existem outros negócios similares no bairro/comunidade, como são praticados os preços nesses outros negócios similares, que produtos similares vendem e estão em falta, que novos negócios devem abrir no bairro ou na comunidade em um futuro próximo, por exemplo)",538,31826,unable,33525,"2014-10-02 10:15:32","2014-10-02 10:15:32",31816,31826,35,35,verificador,Verificador,1,0,1
2331,538,1,S,"2013-09-07 17:54:51",13,21,1,1,1,A,"As informações utilizadas na concretização do sonho demonstram consciência da interdependência entre os diversos componentes do negócio?",20,"- Verificar se conhece quais são as atividades desenvolvidas no seu Negocio e como associa a existência de uma atividade à outra.
- Verificar como vê a relação de seu Negócio com os interesses da Sociedade.
- Verificar como vê a relação de seu Negócio com o governo.",538,31826,unable,33525,"2014-10-02 10:15:32","2014-10-02 10:15:32",31816,31826,35,35,verificador,Verificador,1,0,1
2351,538,21,S,"2013-09-07 17:54:51",21,21,21,2,4,E,"Há evidências de que os produtos/serviços acompanham as tendências e novas tecnologias de mercado?",20,"- Verificar como acompanha as novas tendências e tecnologias de mercado, se freqüenta feiras, congressos, entre outros.
- Verificar como busca diferenciar seu Negócio dos outros similares. Pergunte: “-Estou muito interessado no produto do seu concorrente, porque devo abandonar essa idéia e comprar o seu?”",538,31826,unable,33525,"2014-10-02 10:15:32","2014-10-02 10:15:32",31816,31826,35,35,verificador,Verificador,1,0,1
2355,538,25,S,"2013-09-07 17:54:51",30,33,25,3,1,A,"Há evidências de algum planejamento para o futuro? Aonde chegar? Estratégias? Visão de Futuro?",70,"- Verificar como visualiza seu Negócio no futuro e em quanto tempo esse futuro deve chegar. 
- Verificar as estratégias que utiliza para alcançar seus objetivos (como está trabalhando para chegar onde deseja).",538,31826,unable,33525,"2014-10-02 10:15:32","2014-10-02 10:15:32",31816,31826,35,35,verificador,Verificador,1,0,1
5122,476,18,S,"2013-09-09 08:54:15",41,42,18,2,4,B,"O relacionamento com os clientes é duradouro?",30,"- Verificar se os clientes do Negócio são antigos.
- Verificar como busca a fidelidade de seus clientes.",476,31969,unable,33525,"2014-09-23 14:33:35","2014-09-23 14:33:35",31959,31969,35,35,verificador,Verificador,1,0,1
5118,476,14,S,"2013-09-09 08:54:15",35,37,14,2,3,B,"Remunera, reconhece e dá incentivo aos seus funcionários, de forma que as pessoas se sintam estimuladas à busca de melhores resultados para o negócio?",30,"- Verificar os critérios para a definição da remuneração dos colaboradores.
- Verificar se é dado algum benefício para a força de trabalho (tipo vale refeição, cestas básicas, entre outros).",476,31969,unable,33525,"2014-09-23 14:33:35","2014-09-23 14:33:35",31959,31969,35,35,verificador,Verificador,1,0,1
212484,195,3,S,"2013-10-03 12:37:21",12,12,3,1,2,A,"A inspiração de seu negócio revela a possibilidade da realização de uma idéia inovadora?",50,"- Verificar qual foi sua inspiração para abrir seu Negócio.
- Verificar se essa inspiração possibilitou uma novidade para sua comunidade",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212485,195,4,S,"2013-10-03 12:37:21",24,25,4,1,2,B,"Houve ideias inovadoras para o mercado, demonstrando que seu produto/serviço tem um diferencial sobre os outros?",50,"- Verificar se o Negócio produz algum produto que nenhum outro Negócio do seu Mercado de atuação, apresenta.
-Verificar com que produto é pioneira no Mercado.",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212489,195,8,S,"2013-10-03 12:37:21",29,29,8,2,1,B,"Tem uma atuação democrática e transparente para tomar decisões?",40,"- Verificar se realiza reuniões com os seus colaboradores. Verificar como são as dinâmicas dessas reuniões (se todos podem falar, se as reuniões são apenas para passar informações ou pede para os funcionários montarem propostas para melhorar o negócio)
- Verificar se centraliza todas as decisões ou se tem outras pessoas designadas para decidir sobre assuntos específicos.",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212490,195,9,S,"2013-10-03 12:37:21",25,26,9,2,1,C,"Se relaciona pessoalmente com os clientes, colaboradores, fornecedores, comunidade, parceiros, sendo evidenciada a participação ativa nos negócios?",35,"- Verificar como faz para se relacionar com seus clientes.
- Verificar como faz para se relacionar com a sociedade.
- Verificar como faz para se relacionar com os seus colaboradores.
- Verificar como faz para se relacionar com os seus fornecedores.
- Verificar se a Mulher se relaciona com mais algum setor (além dos já citados) e como faz isso.",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212492,195,11,S,"2013-10-03 12:37:21",32,32,11,2,2,A,"Tem processos definidos para realizar a gestão de seu negócio?",40,"- Verificar as normas, fluxos e rotinas escritas das atividades desenvolvidas no Negócio.
- Verificar como controla as atividades desenvolvidas em seu Negócio. O controle deve estar escrito (podem ser planilhas, atas de reuniões, livros de anotações, agendas, entre outros).",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212493,195,12,S,"2013-10-03 12:37:21",32,32,12,2,2,B,"Demonstra que gerencia os seus recursos financeiros?",40,"- Verificar o orçamento do Negócio. O Orçamento deve conter informações sobre as previsões de recursos, entradas e saídas de dinheiro.",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212495,195,14,S,"2013-10-03 12:37:21",29,30,14,2,3,B,"Remunera, reconhece e dá incentivo aos seus funcionários, de forma que as pessoas se sintam estimuladas à busca de melhores resultados para o negócio?",30,"- Verificar os critérios para a definição da remuneração dos colaboradores.
- Verificar se é dado algum benefício para a força de trabalho (tipo vale refeição, cestas básicas, entre outros).",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212496,195,15,S,"2013-10-03 12:37:21",30,30,15,2,3,C,"Analisa e utiliza as sugestões de melhorias de seus funcionários, no seu negócio?",20,"- Verificar como utiliza sugestões da sua força de trabalho para fazer melhorias (pedir exemplos de melhorias implantadas no Negócio que vieram de sugestões de funcionários).",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212497,195,16,S,"2013-10-03 12:37:21",29,29,16,2,3,D,"Há evidências de que o ambiente de trabalho é agradável?",20,"- Verificar o “clima” do lugar (se as pessoas são tensas ou tranqüilas, se têm orgulho de trabalhar ali ou não, se fazem questão de mostrar o lugar ou se são indiferentes).",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212498,195,17,S,"2013-10-03 12:37:21",25,26,17,2,4,A,"Demonstra conhecer as necessidades dos clientes?",30,"- Verificar quais são as necessidades dos clientes do Negócio e como essas informações foram conseguidas.",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212499,195,18,S,"2013-10-03 12:37:21",26,27,18,2,4,B,"O relacionamento com os clientes é duradouro?",30,"- Verificar se os clientes do Negócio são antigos.
- Verificar como busca a fidelidade de seus clientes.",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212501,195,20,S,"2013-10-03 12:37:21",25,26,20,2,4,D,"Avalia a satisfação dos clientes?",20,"- Verificar como avalia a satisfação de seus clientes.",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212503,195,22,S,"2013-10-03 12:37:22",40,42,22,2,5,A,"Tem uma preocupação com o meio ambiente no desenvolvimento de suas atividades (controla, por exemplo, o uso de energia e água)?",30,"- Verificar quais são os prejuízos que o Negócio pode causar no meio ambiente ou para a sociedade (exemplos: uso excessivo de energia e água, lixos infectados, trânsito, poluição ambiental, visual ou sonora, entre outros).",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212504,195,23,S,"2013-10-03 12:37:22",33,34,23,2,5,B,"Sabe quais os benefícios que seu negócio trouxe para sua comunidade / bairro / município?",30,"- Verificar se o Negócio tem alguma representatividade na economia do local, se atrai novos negócios ou pessoas (turistas, por exemplo) ou se é um importante ponto para gerar emprego na comunidade.",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212505,195,24,S,"2013-10-03 12:37:22",33,34,24,2,6,A,"Há evidências de parcerias para melhor conduzir o negócio?",50,"- Verificar com quem busca parceria.
- Verificar para quais atividades busca parcerias.",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
212506,195,25,S,"2013-10-03 12:37:22",43,44,25,3,1,A,"Há evidências de algum planejamento para o futuro? Aonde chegar? Estratégias? Visão de Futuro?",70,"- Verificar como visualiza seu Negócio no futuro e em quanto tempo esse futuro deve chegar. 
- Verificar as estratégias que utiliza para alcançar seus objetivos (como está trabalhando para chegar onde deseja).",195,32131,unable,33525,"2014-08-29 15:03:36","2014-08-29 15:03:36",32120,32131,35,35,verificador,Verificador,1,0,1
56,290,28,S,"2013-09-02 14:27:57",1,3,28,3,3,A,"Tem medidas para avaliar os resultados gerados? (como por exemplo, índice de satisfação do cliente, aumento do números dos clientes, aumento de receita, absenteísmo, índice de satisfação das pessoas, hora/homem treinamento entre outros indicados pela própria Mulher).",70,"- Verificar os indicadores de cliente e de mercado (o que mede, de quanto em quanto tempo e o que faz com essa medida). 
-Verificar os indicadores de pessoas (o que mede, de quanto em quanto tempo e o que faz com essa medida).",290,32145,unable,33525,"2014-09-03 14:33:42","2014-09-03 14:33:42",32134,32145,35,35,verificador,Verificador,1,0,1
51,290,23,S,"2013-09-02 14:27:57",6,7,23,2,5,B,"Sabe quais os benefícios que seu negócio trouxe para sua comunidade / bairro / município?",30,"- Verificar se o Negócio tem alguma representatividade na economia do local, se atrai novos negócios ou pessoas (turistas, por exemplo) ou se é um importante ponto para gerar emprego na comunidade.",290,32145,unable,33525,"2014-09-03 14:33:42","2014-09-03 14:33:42",32134,32145,35,35,verificador,Verificador,1,0,1
48,290,20,S,"2013-09-02 14:27:57",1,3,20,2,4,D,"Avalia a satisfação dos clientes?",20,"- Verificar como avalia a satisfação de seus clientes.",290,32145,unable,33525,"2014-09-03 14:33:42","2014-09-03 14:33:42",32134,32145,35,35,verificador,Verificador,1,0,1
46,290,18,S,"2013-09-02 14:27:57",43,45,18,2,4,B,"O relacionamento com os clientes é duradouro?",30,"- Verificar se os clientes do Negócio são antigos.
- Verificar como busca a fidelidade de seus clientes.",290,32145,unable,33525,"2014-09-03 14:33:42","2014-09-03 14:33:42",32134,32145,35,35,verificador,Verificador,1,0,1
44,290,16,S,"2013-09-02 14:27:57",9,9,16,2,3,D,"Há evidências de que o ambiente de trabalho é agradável?",20,"- Verificar o “clima” do lugar (se as pessoas são tensas ou tranqüilas, se têm orgulho de trabalhar ali ou não, se fazem questão de mostrar o lugar ou se são indiferentes).",290,32145,unable,33525,"2014-09-03 14:33:42","2014-09-03 14:33:42",32134,32145,35,35,verificador,Verificador,1,0,1
40,290,12,S,"2013-09-02 14:27:57",5,6,12,2,2,B,"Demonstra que gerencia os seus recursos financeiros?",40,"- Verificar o orçamento do Negócio. O Orçamento deve conter informações sobre as previsões de recursos, entradas e saídas de dinheiro.",290,32145,unable,33525,"2014-09-03 14:33:42","2014-09-03 14:33:42",32134,32145,35,35,verificador,Verificador,1,0,1
38,290,10,S,"2013-09-02 14:27:57",1,2,10,2,1,D,"Não desiste das ideias diante dos problemas que aparecem, buscando outros caminhos quando necessário, para atingir os objetivos?",35,"- Verificar como demonstra persistência no que faz.",290,32145,unable,33525,"2014-09-03 14:33:42","2014-09-03 14:33:42",32134,32145,35,35,verificador,Verificador,1,0,1
36,290,8,S,"2013-09-02 14:27:57",2,40,8,2,1,B,"Tem uma atuação democrática e transparente para tomar decisões?",40,"- Verificar se realiza reuniões com os seus colaboradores. Verificar como são as dinâmicas dessas reuniões (se todos podem falar, se as reuniões são apenas para passar informações ou pede para os funcionários montarem propostas para melhorar o negócio)
- Verificar se centraliza todas as decisões ou se tem outras pessoas designadas para decidir sobre assuntos específicos.",290,32145,unable,33525,"2014-09-03 14:33:42","2014-09-03 14:33:42",32134,32145,35,35,verificador,Verificador,1,0,1
228260,119,9,S,"2013-10-06 16:00:59",15,19,9,2,1,C,"Se relaciona pessoalmente com os clientes, colaboradores, fornecedores, comunidade, parceiros, sendo evidenciada a participação ativa nos negócios?",35,"- Verificar como faz para se relacionar com seus clientes.
- Verificar como faz para se relacionar com a sociedade.
- Verificar como faz para se relacionar com os seus colaboradores.
- Verificar como faz para se relacionar com os seus fornecedores.
- Verificar se a Mulher se relaciona com mais algum setor (além dos já citados) e como faz isso.",119,32202,unable,33525,"2014-08-21 13:53:35","2014-08-21 13:53:35",32191,32202,35,35,verificador,Verificador,1,0,1
228257,119,6,S,"2013-10-06 16:00:59",26,28,6,1,2,D,"A superação está traduzida em melhorias pessoais e profissionais?",45,"- Verificar como supera preconceitos.",119,32202,unable,33525,"2014-08-21 13:53:35","2014-08-21 13:53:35",32191,32202,35,35,verificador,Verificador,1,0,1
228255,119,4,S,"2013-10-06 16:00:59",7,8,4,1,2,B,"Houve ideias inovadoras para o mercado, demonstrando que seu produto/serviço tem um diferencial sobre os outros?",50,"- Verificar se o Negócio produz algum produto que nenhum outro Negócio do seu Mercado de atuação, apresenta.
-Verificar com que produto é pioneira no Mercado.",119,32202,unable,33525,"2014-08-21 13:53:35","2014-08-21 13:53:35",32191,32202,35,35,verificador,Verificador,1,0,1
228253,119,2,S,"2013-10-06 16:00:59",7,8,2,1,1,B,"As informações do mercado e do ambiente que cerca o negócio foram utilizadas na sua criação?",20,"- Verificar se conhece as tendências de mercado na sua área de atuação (se existem outros negócios similares no bairro/comunidade, como são praticados os preços nesses outros negócios similares, que produtos similares vendem e estão em falta, que novos negócios devem abrir no bairro ou na comunidade em um futuro próximo, por exemplo)",119,32202,unable,33525,"2014-08-21 13:53:35","2014-08-21 13:53:35",32191,32202,35,35,verificador,Verificador,1,0,1
145859,89,5,S,"2013-09-28 19:23:28",38,40,5,1,2,C,"O preconceito de gênero foi visto como oportunidade para o negócio?",45,"- Verificar ações de melhorias implantadas no Negócio, a partir do enfrentamento do preconceito contra a Mulher (pedir relatos).
- Verificar se os preconceitos são encarados como grandes dificuldades ou como oportunidades (solicitar que a Mulher justifique sua resposta).",89,32207,unable,33525,"2014-08-18 11:39:30","2014-08-18 11:39:30",32196,32207,35,35,verificador,Verificador,1,0,1
145860,89,6,S,"2013-09-28 19:23:28",9,10,6,1,2,D,"A superação está traduzida em melhorias pessoais e profissionais?",45,"- Verificar como supera preconceitos.",89,32207,unable,33525,"2014-08-18 11:39:30","2014-08-18 11:39:30",32196,32207,35,35,verificador,Verificador,1,0,1
